Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall
Uniform,0.05,16.88%,9.95%,16.88%,16.88%
Uniform,0.1,11.25%,4.38%,11.25%,11.25%
Uniform,0.2,16.88%,9.78%,16.88%,16.88%
Uniform,0.3,12.50%,2.79%,12.50%,12.50%
Uniform,0.5,12.50%,2.78%,12.50%,12.50%
Uniform,0.6,12.50%,2.78%,12.50%,12.50%
Uniform,0.7,12.50%,2.78%,12.50%,12.50%
Uniform,0.8,12.50%,2.78%,12.50%,12.50%
Uniform,1.0,12.50%,2.78%,12.50%,12.50%
Uniform,1.2,12.50%,2.78%,12.50%,12.50%
Triangle,0.05,13.75%,11.91%,13.75%,13.75%
Triangle,0.1,16.25%,14.87%,16.25%,16.25%
Triangle,0.2,16.25%,14.87%,16.25%,16.25%
Triangle,0.3,16.25%,14.87%,16.25%,16.25%
Triangle,0.5,17.50%,16.38%,17.50%,17.50%
Triangle,0.6,17.50%,16.34%,17.50%,17.50%
Triangle,0.7,17.50%,16.34%,17.50%,17.50%
Triangle,0.8,17.50%,16.34%,17.50%,17.50%
Triangle,1.0,17.50%,16.34%,17.50%,17.50%
Triangle,1.2,17.50%,16.34%,17.50%,17.50%
Gaussian,0.05,11.25%,8.39%,11.25%,11.25%
Gaussian,0.1,17.50%,16.37%,17.50%,17.50%
Gaussian,0.2,18.12%,17.04%,18.12%,18.12%
Gaussian,0.3,18.12%,17.04%,18.12%,18.12%
Gaussian,0.5,18.12%,17.04%,18.12%,18.12%
Gaussian,0.6,18.12%,17.04%,18.12%,18.12%
Gaussian,0.7,18.12%,17.04%,18.12%,18.12%
Gaussian,0.8,18.12%,17.04%,18.12%,18.12%
Gaussian,1.0,18.12%,17.04%,18.12%,18.12%
Gaussian,1.2,18.12%,17.04%,18.12%,18.12%
Laplacian,0.05,13.75%,11.91%,13.75%,13.75%
Laplacian,0.1,16.25%,14.87%,16.25%,16.25%
Laplacian,0.2,16.25%,14.87%,16.25%,16.25%
Laplacian,0.3,16.25%,14.87%,16.25%,16.25%
Laplacian,0.5,17.50%,16.38%,17.50%,17.50%
Laplacian,0.6,17.50%,16.34%,17.50%,17.50%
Laplacian,0.7,17.50%,16.34%,17.50%,17.50%
Laplacian,0.8,17.50%,16.34%,17.50%,17.50%
Laplacian,1.0,17.50%,16.34%,17.50%,17.50%
Laplacian,1.2,17.50%,16.34%,17.50%,17.50%
Epanechnikov,0.05,11.25%,2.92%,11.25%,11.25%
Epanechnikov,0.1,14.37%,7.76%,14.37%,14.37%
Epanechnikov,0.2,18.75%,16.74%,18.75%,18.75%
Epanechnikov,0.3,18.12%,17.04%,18.12%,18.12%
Epanechnikov,0.5,18.12%,17.04%,18.12%,18.12%
Epanechnikov,0.6,18.12%,17.04%,18.12%,18.12%
Epanechnikov,0.7,18.12%,17.04%,18.12%,18.12%
Epanechnikov,0.8,18.12%,17.04%,18.12%,18.12%
Epanechnikov,1.0,18.12%,17.04%,18.12%,18.12%
Epanechnikov,1.2,18.12%,17.04%,18.12%,18.12%
